sensor,metric_category,metric_name,value
Completeness Sensor,url,total,244
Completeness Sensor,url,non_null,244
Completeness Sensor,url,null,0
Completeness Sensor,url,completeness_pct,100.0
Completeness Sensor,title,total,244
Completeness Sensor,title,non_null,244
Completeness Sensor,title,null,0
Completeness Sensor,title,completeness_pct,100.0
Completeness Sensor,date,total,244
Completeness Sensor,date,non_null,244
Completeness Sensor,date,null,0
Completeness Sensor,date,completeness_pct,100.0
Completeness Sensor,author,total,244
Completeness Sensor,author,non_null,234
Completeness Sensor,author,null,10
Completeness Sensor,author,completeness_pct,95.90163934426229
Completeness Sensor,category,total,244
Completeness Sensor,category,non_null,244
Completeness Sensor,category,null,0
Completeness Sensor,category,completeness_pct,100.0
Completeness Sensor,content,total,244
Completeness Sensor,content,non_null,244
Completeness Sensor,content,null,0
Completeness Sensor,content,completeness_pct,100.0
Completeness Sensor,summary,total,244
Completeness Sensor,summary,non_null,244
Completeness Sensor,summary,null,0
Completeness Sensor,summary,completeness_pct,100.0
Completeness Sensor,tags,total,244
Completeness Sensor,tags,non_null,244
Completeness Sensor,tags,null,0
Completeness Sensor,tags,completeness_pct,100.0
Completeness Sensor,image_url,total,244
Completeness Sensor,image_url,non_null,244
Completeness Sensor,image_url,null,0
Completeness Sensor,image_url,completeness_pct,100.0
Completeness Sensor,scraped_at,total,244
Completeness Sensor,scraped_at,non_null,244
Completeness Sensor,scraped_at,null,0
Completeness Sensor,scraped_at,completeness_pct,100.0
Completeness Sensor,content_length,total,244
Completeness Sensor,content_length,non_null,244
Completeness Sensor,content_length,null,0
Completeness Sensor,content_length,completeness_pct,100.0
Completeness Sensor,word_count,total,244
Completeness Sensor,word_count,non_null,244
Completeness Sensor,word_count,null,0
Completeness Sensor,word_count,completeness_pct,100.0
Completeness Sensor,title_length,total,244
Completeness Sensor,title_length,non_null,244
Completeness Sensor,title_length,null,0
Completeness Sensor,title_length,completeness_pct,100.0
Completeness Sensor,has_date,total,244
Completeness Sensor,has_date,non_null,244
Completeness Sensor,has_date,null,0
Completeness Sensor,has_date,completeness_pct,100.0
Completeness Sensor,has_category,total,244
Completeness Sensor,has_category,non_null,244
Completeness Sensor,has_category,null,0
Completeness Sensor,has_category,completeness_pct,100.0
Completeness Sensor,url_valid,total,244
Completeness Sensor,url_valid,non_null,244
Completeness Sensor,url_valid,null,0
Completeness Sensor,url_valid,completeness_pct,100.0
Completeness Sensor,url_unique,total,244
Completeness Sensor,url_unique,non_null,244
Completeness Sensor,url_unique,null,0
Completeness Sensor,url_unique,completeness_pct,100.0
Completeness Sensor,content_quality_score,total,244
Completeness Sensor,content_quality_score,non_null,244
Completeness Sensor,content_quality_score,null,0
Completeness Sensor,content_quality_score,completeness_pct,100.0
Validity Sensor,url,total,244
Validity Sensor,url,valid_format,244
Validity Sensor,url,https_count,244
Validity Sensor,url,has_domain,244
Validity Sensor,url,format_pct,100.0
Validity Sensor,url,https_pct,100.0
Validity Sensor,url,domain_pct,100.0
Validity Sensor,content,total,244
Validity Sensor,content,not_empty,244
Validity Sensor,content,has_text,244
Validity Sensor,content,valid_pct,100.0
Validity Sensor,title,total,244
Validity Sensor,title,not_empty,244
Validity Sensor,title,has_text,244
Validity Sensor,title,valid_pct,100.0
Accuracy Sensor,content_length,min,296
Accuracy Sensor,content_length,max,6378
Accuracy Sensor,content_length,mean,2210.7868852459014
Accuracy Sensor,content_length,median,2092.5
Accuracy Sensor,content_length,p25,1654.75
Accuracy Sensor,content_length,p75,2644.0
Accuracy Sensor,content_length,below_500,9
Accuracy Sensor,content_length,above_1500,199
Accuracy Sensor,content_length,pct_quality,81.55737704918032
Accuracy Sensor,title_length,min,27
Accuracy Sensor,title_length,max,100
Accuracy Sensor,title_length,mean,70.15163934426229
Accuracy Sensor,title_length,median,71.0
Accuracy Sensor,title_length,below_20,0
Accuracy Sensor,title_length,above_40,239
Accuracy Sensor,title_length,pct_quality,97.95081967213115
Accuracy Sensor,word_count,min,42
Accuracy Sensor,word_count,max,837
Accuracy Sensor,word_count,mean,298.04918032786884
Accuracy Sensor,word_count,median,279.0
Accuracy Sensor,word_count,below_100,10
Accuracy Sensor,word_count,above_250,156
Accuracy Sensor,word_count,pct_quality,63.934426229508205
Uniqueness Sensor,url,total,244
Uniqueness Sensor,url,unique,244
Uniqueness Sensor,url,duplicates,0
Uniqueness Sensor,url,uniqueness_pct,100.0
Uniqueness Sensor,url,dup_examples,[]
Uniqueness Sensor,content,total,244
Uniqueness Sensor,content,unique,244
Uniqueness Sensor,content,duplicates,0
Uniqueness Sensor,content,uniqueness_pct,100.0
Uniqueness Sensor,title,total,244
Uniqueness Sensor,title,unique,244
Uniqueness Sensor,title,duplicates,0
Uniqueness Sensor,title,uniqueness_pct,100.0
Consistency Sensor,category,total,244
Consistency Sensor,category,valid,206
Consistency Sensor,category,invalid_count,38
Consistency Sensor,category,validity_pct,84.42622950819673
Consistency Sensor,category,invalid_values,"['Ameera', 'Rejogja', 'En', 'Kolom', 'Esgnow']"
Consistency Sensor,category,valid_categories,"['Politik', 'Ekonomi', 'Pendidikan', 'Kesehatan', 'Sosial', 'Teknologi', 'Olahraga', 'Hiburan', 'Internasional', 'Daerah', 'Hukum', 'Budaya', 'News', 'Rejabar', 'Ekonomi Syariah', 'Islam Digest', 'Visual']"
Consistency Sensor,title_content_correlation,correlation,0.006715676041374846
Consistency Sensor,title_content_correlation,strength,weak
Consistency Sensor,title_wordcount_correlation,correlation,0.018386556552795065
Consistency Sensor,title_wordcount_correlation,strength,weak
Statistical Sensor,content_length_distribution,q1,1654.75
Statistical Sensor,content_length_distribution,q3,2644.0
Statistical Sensor,content_length_distribution,iqr,989.25
Statistical Sensor,content_length_distribution,outliers_low,0
Statistical Sensor,content_length_distribution,outliers_high,7
Statistical Sensor,content_length_distribution,outliers_total,7
Statistical Sensor,content_length_distribution,outliers_pct,2.8688524590163933
Statistical Sensor,content_length_distribution,skewness,0.9466487948792194
Statistical Sensor,content_length_distribution,kurtosis,2.3543678480011394
Statistical Sensor,content_length_consistency,std,907.4837932732646
Statistical Sensor,content_length_consistency,mean,2210.7868852459014
Statistical Sensor,content_length_consistency,cv,41.047999666070346
Statistical Sensor,content_length_consistency,consistency,moderate
